Ano_Treino,Ano_Teste,Distancia_Anos,MAE_Geral,ME_Geral,MAPE_Geral,RMSE_Geral,R2_Geral,Raca_MAE_Priv,Raca_MAE_Unpriv,Disp_MAE_Raca,Raca_ME_Priv,Raca_ME_Unpriv,Disp_ME_Raca,Raca_MAPE_Priv,Raca_MAPE_Unpriv,Disp_MAPE_Raca,Gen_MAE_Priv,Gen_MAE_Unpriv,Disp_MAE_Gen,Gen_ME_Priv,Gen_ME_Unpriv,Disp_ME_Gen,Gen_MAPE_Priv,Gen_MAPE_Unpriv,Disp_MAPE_Gen
2014,2015,1,23499.629595117687,198.3154832081131,1.2394564863082524,49029.6286394883,0.39749927438005,24342.369409758645,19334.057249331563,5008.312160427079,-307.7984574542781,2699.982306601639,3007.7807640559163,1.164533231987984,1.6097940814125935,0.4452608494246095,29022.354510404035,17474.600012111197,11547.754498292836,-429.30683049926233,883.0215051530515,1312.3283356523136,1.2338112180033014,1.245615204887045,0.011803986883743518
2014,2016,2,23828.28414410675,-443.743961404541,1.2031850411407947,49625.86478963782,0.3949395476452225,24745.95664329281,19453.082975406567,5292.8736678862515,-1021.7036783945989,2311.803395064548,3333.507073459147,1.129334573034224,1.5552830441380627,0.42594847110383893,29337.6152819362,17874.831799799882,11462.783482136316,-1160.6427039412924,330.9458135628749,1491.5885175041672,1.2006017794729227,1.2059765461071499,0.006097463912752454
2014,2017,3,24114.977361316054,-475.06691393626187,1.2157742659347146,50692.54900873308,0.38244319522133025,24945.426308021815,20145.785591770993,4799.640716250815,-917.7756742162921,1640.8921399941405,2558.667814210433,1.1452652469373814,1.5527773038614696,0.40751205692408826,29698.5820301032,18071.343138994584,11627.238891108622,-1439.8441770892061,569.197719823227,2009.0418969124332,1.1628635020764608,1.2730443131804432,0.11018081110398234
2014,2018,4,24457.207643750276,-851.6986545693318,1.2458276616682167,51284.43088192494,0.37592764804604156,25314.075526521585,20287.805232863982,5026.2702936576,-1426.5931962315956,1945.659883668415,3372.25307990001,1.1717926728636854,1.6060718335155795,0.43427916065189387,29987.576039361684,18501.038435344133,11486.537604017542,-1923.3234663984508,302.43399096033045,2225.7574573587817,1.212364350163076,1.2818674209284473,0.06950307076537121
2014,2019,5,30237.211621430724,-7713.919420026494,1.1723502476214682,59853.26524741037,0.2134143508232841,31521.04733684314,23929.42605306639,7591.621283776752,-8422.61837452218,-4231.915465924961,4190.702908597221,1.1195329929650741,1.4318537905457294,0.31232079758065545,38828.75881002549,20897.909298363225,17930.84951166226,-11061.677168197453,-4074.793541038673,6986.883627158782,1.1210756143969687,1.2280875078234137,0.10701189342644506
2014,2021,7,30674.797042835613,-6154.722502205881,1.3268016998543275,59382.4079766956,0.1835234091567232,32438.4239393151,25316.21314078347,7122.210798531635,-7131.8562559473785,-3185.8104191552898,3946.0458367920887,1.22568810622136,1.6340240926415102,0.4083359864201501,39072.84217493171,21486.44770090566,17586.39447402606,-8650.257721276792,-3424.3431070918145,5225.914614184979,1.2995999607622324,1.3565632785973345,0.056963317835102355
2014,2022,8,30271.327723705796,-4821.061389484971,1.3357527068317716,59120.02563309527,0.16343700030758798,31870.52826529589,25337.228381374975,6533.299883920907,-5617.711018971481,-2363.115490461493,3254.5955285099885,1.2638912998656047,1.5574705662430641,0.2935792663774596,38565.57800048873,21297.6612794244,17267.91672106434,-7163.068873197652,-2287.210436412456,4875.858436785197,1.2920432524432475,1.3830425824751535,0.09099933003190608
2015,2016,1,24217.32411629617,993.7905787107516,1.2512883885244157,49813.74549103725,0.3903493913787867,25104.07096302634,19989.567652420275,5114.503310606064,414.86412993952996,3753.9470370353706,3339.082907095841,1.1680452158454144,1.6481681323486155,0.480122916503201,29785.81889376259,18199.938800766016,11585.880092996575,925.91627495011,1067.1364028648595,141.22012791474938,1.2506990550395476,1.2519252296815888,0.003213926926043209
2015,2017,2,24524.26353655506,995.5366262783657,1.2696353184150837,50930.439647385305,0.3766333351587534,25332.624162138494,20660.644521060076,4671.97964107842,549.4456154552179,3127.6613952374105,2578.215779782192,1.1916896857729877,1.6421821977654072,0.4504925119924194,30297.556279331133,18275.31296332245,12022.243316008686,761.6627222848306,1248.6792489616223,487.01652667679195,1.2263491949188488,1.3164877574453526,0.09013856252650426
2015,2018,3,25002.79272015324,456.49232305781356,1.2978184564940214,52057.38957393654,0.3569737075707832,25854.260347776122,20859.66721529637,4994.593132479751,-92.41347601946694,3127.39317958239,3219.806655601857,1.2201447984474596,1.6757678972809487,0.455623098833489,30750.09753510343,18812.984461214244,11937.113073889175,-29.579160722721443,979.9880104473403,1009.5671711700617,1.2584315359298992,1.3402379024868287,0.0818063665569296
